name,detector,num_features,r_min,r_max,r_mean,r_std
image_2,SIFT,22405,0.013333357870578766,0.0781414583325386,0.02231855517462365,0.008755296109767628
image_12,SIFT,69715,0.013333338312804699,0.07778339833021164,0.02214003137558568,0.008215919551207285
image_24,SIFT,156647,0.013333501294255257,0.0714067742228508,0.023019563991443757,0.008299173373201685
image_23,SIFT,35344,0.013333747163414955,0.08307864516973495,0.02027678245131197,0.007974236511121434
image_20,SIFT,54763,0.013333487324416637,0.08693132549524307,0.02273143794652335,0.009563930486784392
image_14,SIFT,61308,0.01333357859402895,0.07531753927469254,0.02290252686202088,0.008698469462570087
image_4,SIFT,29312,0.013333463110029697,0.08356690406799316,0.02140761947645155,0.008297091168315836
image_16,SIFT,21081,0.013333442620933056,0.0892077386379242,0.019513813177977457,0.007099878632634604
image_3,SIFT,36070,0.013333436101675034,0.08046767115592957,0.022811554297717043,0.009133155394127757
image_15,SIFT,32750,0.013333912938833237,0.08544418215751648,0.021315403405377884,0.007675068199685918
image_21,SIFT,62240,0.013333473354578018,0.08301088958978653,0.020831919854487697,0.007478834521115067
image_7,SIFT,21834,0.013333397917449474,0.08658367395401001,0.02219381563033947,0.008981560304817544
image_25,SIFT,80111,0.013333522714674473,0.10214117169380188,0.02207136760992885,0.007959456651975746
image_18,SIFT,14877,0.013333342969417572,0.07360726594924927,0.020351569413980537,0.007182892993600949
image_17,SIFT,38247,0.013333647511899471,0.07625233381986618,0.02097436930367419,0.007663167427362594
image_9,SIFT,71982,0.013333420269191265,0.07948324084281921,0.022305193436054263,0.008137838314850035
image_22,SIFT,48374,0.013333389535546303,0.08567225933074951,0.021906251806482244,0.008939542928524434
image_8,SIFT,46108,0.013333365321159363,0.08591943979263306,0.021220211509391056,0.008110126131207667
image_11,SIFT,22163,0.013334316201508045,0.08148960024118423,0.020892008890839954,0.007151849467299477
image_19,SIFT,27152,0.013333523645997047,0.07573562860488892,0.02071956411106556,0.007952620087810967
image_13,SIFT,66445,0.013333376497030258,0.06611543893814087,0.020182969308175768,0.006633600320857973
image_5,SIFT,49229,0.01333343330770731,0.062271784991025925,0.020624900874987015,0.006800729366540403
image_1,SIFT,62184,0.013333356007933617,0.07865455746650696,0.022182206483192385,0.008679029311874406
image_10,SIFT,55114,0.013333480805158615,0.08030581474304199,0.021341390182024297,0.007532901414877271
image_6,SIFT,29709,0.013333391398191452,0.08495653420686722,0.020393146431060567,0.007552915387194022
all,SIFT,1215164,0.013333338312804699,0.10214117169380188,0.021738874726917917,0.008155213066941716
image_2,BRISK,22066,8.0,136.98394775390625,44.09696097453053,13.874542026861333
image_12,BRISK,63548,8.55555534362793,142.91111755371094,44.79812113508041,14.046431042121746
image_24,BRISK,151492,8.55555534362793,127.98844909667969,45.08711552531801,13.291651860665036
image_23,BRISK,22808,11.11111068725586,137.6857147216797,44.347567220271074,14.748772058382038
image_20,BRISK,57127,5.0,168.4088897705078,46.31027966539611,16.933655450050235
image_14,BRISK,60384,7.777777671813965,143.4081573486328,46.08738044888239,14.870224594644151
image_4,BRISK,27089,7.44444465637207,152.7113037109375,43.51168076398563,13.886103645205985
image_16,BRISK,16092,13.333333015441895,185.31390380859375,41.10325389070769,12.759758822680016
image_3,BRISK,36322,11.777777671813965,158.51318359375,46.415927088357144,15.710084203736539
image_15,BRISK,28363,7.777777671813965,157.0946502685547,44.353206171789544,13.802237964399891
